,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
76,168.36,0.1,0.014835,0.002873434356306,1e-10,342.654,2e-10,174.569,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
77,169.95,0.1,0.005547,0.0022434299632482,,405.07,,234.858,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
78,171.5,0.2,0.00387,0.0013315404612703,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
79,173.45,0.03,0.017415,0.0029768481654259,,234.858,6e-10,61.424,M1 E2,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
80,175.8,0.3,0.02064,0.0054518987518111,7.5e-11,280.182,,104.6,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
81,181.1,0.3,0.00258,0.0013086252328302,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
82,182.3,0.2,0.00387,0.0013315404612703,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
83,184.65,0.05,0.03612,0.0049460388190955,,234.858,6.3e-10,50.128,E1,,,0.11,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
84,197.56,0.1,0.0129,0.0040232946697948,,445.071,1.5e-10,247.39,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
85,200.5,0.1,0.0129,0.0090967521676695,7.5e-11,280.182,2.4e-10,79.708,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
86,201.64,0.1,0.023736,0.003279173066491,3e-11,376.296,2e-10,174.569,M1+E2,1.59,9,1.05,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
87,202.5,0.5,0.00645,0.0026379727064547,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
88,204.14,0.1,0.22704,0.0322560009920634,2.8e-10,334.37,3e-10,130.141,E2,,,0.553,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
89,204.98,0.1,0.16383,0.029339408651164,,234.858,,29.858,M1+E2,-0.12,7,2.13,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
90,206.08,0.05,0.25413,0.0336931580591668,4.2e-10,329.856,4.5e-10,123.793,E2,,,0.535,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
91,206.4,,0.00258,0.0025893628559937,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
92,210.62,0.05,1.2513,0.1397819015466594,2.8e-10,334.37,4.5e-10,123.793,E1,,,0.0805,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
93,212.7,0.04,0.07869,0.0112501111105624,1e-10,342.654,3e-10,130.141,M1+E2,-0.4,1,1.74,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
94,212.7,0.3,0.01935,0.0054173886698297,,459.93,1.5e-10,247.39,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
95,216.0,0.1,0.000258,0.000130862523283,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
96,218.9,0.05,0.10965,0.01392569208334,1e-10,342.654,4.5e-10,123.793,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
97,218.9,0.05,0.10965,0.01392569208334,7.5e-11,280.182,6e-10,61.424,M1,,,1.79,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
98,219.0,0.3,0.05031,0.0123772452508625,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
99,223.2,0.4,0.00516,0.0013629746879527,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
100,225.5,0.3,0.00903,0.0026924524136927,,459.93,,234.858,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
101,229.9,0.5,0.00387,0.0013315404612703,,405.07,1.4e-10,174.58,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
102,234.76,0.1,0.4515,0.0643801988192021,,234.858,987552.0,0.0,M1(+E2),-0.07,2,1.47,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
103,235.96,0.02,12.9,1.1298513176520175,7.7e-10,286.087,6.3e-10,50.128,E1,,,0.0615,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
104,246.12,0.1,0.012255,0.0013810988378823,3e-11,376.296,3e-10,130.141,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
105,248.1,0.1,0.02451,0.0055671985773816,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
106,249.6,0.5,0.00774,0.0026630809225406,,424.12,2e-10,174.569,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
107,250.15,0.05,0.008901,0.0018407634285806,7.5e-11,280.182,,29.858,M1,,,1.23,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
108,250.27,0.08,0.4515,0.0545888266955793,4.2e-10,329.856,2.4e-10,79.708,M1+E2,-2.1,4,0.45,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
109,252.5,0.05,0.11094,0.0181417198743669,3e-11,376.296,4.5e-10,123.793,M1,,,1.2,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
110,254.63,0.03,0.7095,0.1424824550602634,2.8e-10,334.37,2.4e-10,79.708,E1,,,0.0515,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
111,256.23,0.02,7.0047,0.6110714279034817,7.7e-10,286.087,,29.858,E2,,,0.253,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
112,260.6,0.2,0.00516,0.0013629746879527,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
113,262.87,0.05,0.10707,0.011969314934448,5e-11,342.59,2.4e-10,79.708,E1,,,0.0479,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
114,265.3,0.2,0.00516,0.0013629746879527,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
115,267.05,0.2,0.01032,0.0027259493759055,,514.25,1.5e-10,247.39,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
116,267.86,0.2,0.007095,0.0026499858490188,,442.35,2e-10,174.569,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
117,270.56,0.2,0.02838,0.0093486523092903,,445.071,2e-10,174.569,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
118,272.91,0.05,0.50826,0.0440257106700164,2.8e-10,334.37,6e-10,61.424,M1+E2,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
119,279.8,0.05,0.05418,0.0137023501633843,4.2e-10,329.856,6.3e-10,50.128,M1+E2,0.12,11,0.9,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
120,280.7,0.3,0.00258,0.0013086252328302,,405.07,4.5e-10,123.793,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
121,281.42,0.05,0.17802,0.019110847704903,5e-11,342.59,6e-10,61.424,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
122,281.42,0.05,0.17802,0.019110847704903,1e-10,342.654,6e-10,61.424,M1+E2,0.53,2,0.738,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
123,284.24,0.1,0.03999,0.0133430918455956,2.8e-10,334.37,6.3e-10,50.128,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
124,285.52,0.1,0.04386,0.0121975284381714,,459.93,1.4e-10,174.58,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
125,286.09,0.2,1.7415,0.2145117479300376,7.7e-10,286.087,987552.0,0.0,M1+E2,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
126,289.59,0.1,1.935,0.4207065485584934,2e-10,369.36,2.4e-10,79.708,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
127,289.77,0.1,0.01935,0.0042070654855849,,537.16,1.5e-10,247.39,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
128,292.41,0.05,0.06579,0.0095592729849084,5e-11,342.59,6.3e-10,50.128,E1,,,0.0375,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
129,296.5,0.05,0.4386,0.0538186770554609,3e-11,376.296,2.4e-10,79.708,M1+E2,-0.13,2,0.762,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
130,299.98,0.03,2.2059,0.1988513515166542,4.2e-10,329.856,,29.858,E1,,,0.0354,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
131,300.5,0.16,0.01419,0.0028496491012052,,350.53,6.3e-10,50.128,(M1+E2),,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
